NOME_ATIVO,DATA_NEGOCIACAO,ANO,MES,DIA,ANOMES,VALOR_ABERTURA,VALOR_MAIOR_NEGOCIACAO,VALOR_MENOR_NEGOCIACAO,VALOR_FECHAMENTO,VALOR_FECHAMENTO_AJUSTADO,VOLUME_NEGOCIADO,DATA_EXTRACAO
VALE3.SA,2021-01-04,2021,01,04,2021-01,89.3499984741211,91.4800033569336,88.8499984741211,91.45999908447266,67.3802719116211,37865500,2023-09-07 01:29:18.064408
VALE3.SA,2021-01-05,2021,01,05,2021-01,91.45999908447266,93.0,90.5199966430664,93.0,68.51480865478516,34300300,2023-09-07 01:29:18.064408
VALE3.SA,2021-01-06,2021,01,06,2021-01,94.9800033569336,96.3499984741211,94.4000015258789,96.0500030517578,70.76180267333984,53722500,2023-09-07 01:29:18.064408
VALE3.SA,2021-01-07,2021,01,07,2021-01,96.61000061035156,102.52999877929688,96.61000061035156,102.31999969482422,75.38104248046875,74541400,2023-09-07 01:29:18.064408
VALE3.SA,2021-01-08,2021,01,08,2021-01,103.01000213623048,103.3499984741211,98.1999969482422,102.0,75.14527893066406,58562700,2023-09-07 01:29:18.064408
VALE3.SA,2021-01-11,2021,01,11,2021-01,100.25,101.9800033569336,99.6999969482422,101.9800033569336,75.13054656982422,29267000,2023-09-07 01:29:18.064408
VALE3.SA,2021-01-12,2021,01,12,2021-01,102.5,102.62000274658205,99.18000030517578,99.19000244140624,73.07510375976562,28598500,2023-09-07 01:29:18.064408
VALE3.SA,2021-01-13,2021,01,13,2021-01,98.87000274658205,98.91999816894533,95.73999786376952,96.22000122070312,70.88705444335938,31658800,2023-09-07 01:29:18.064408
VALE3.SA,2021-01-14,2021,01,14,2021-01,97.22000122070312,98.86000061035156,96.6999969482422,97.8000030517578,72.05107116699219,20809900,2023-09-07 01:29:18.064408
VALE3.SA,2021-01-15,2021,01,15,2021-01,96.58000183105467,97.1999969482422,93.1999969482422,93.5500030517578,68.9200210571289,31712400,2023-09-07 01:29:18.064408
VALE3.SA,2021-01-18,2021,01,18,2021-01,93.9000015258789,95.63999938964844,93.5500030517578,94.30999755859376,69.47991180419922,22667600,2023-09-07 01:29:18.064408
VALE3.SA,2021-01-19,2021,01,19,2021-01,94.5,94.56999969482422,91.9000015258789,94.05999755859376,69.29573059082031,27155400,2023-09-07 01:29:18.064408
VALE3.SA,2021-01-20,2021,01,20,2021-01,95.0,95.13999938964844,90.83000183105467,92.31999969482422,68.01383972167969,20480000,2023-09-07 01:29:18.064408
VALE3.SA,2021-01-21,2021,01,21,2021-01,92.3000030517578,96.0999984741211,92.13999938964844,93.36000061035156,68.78003692626953,25983400,2023-09-07 01:29:18.064408
VALE3.SA,2021-01-22,2021,01,22,2021-01,91.98999786376952,93.80999755859376,90.98999786376952,93.16999816894533,68.64005279541016,25814300,2023-09-07 01:29:18.064408
VALE3.SA,2021-01-26,2021,01,26,2021-01,92.98999786376952,94.16000366210938,91.36000061035156,91.75,67.59392547607422,24921600,2023-09-07 01:29:18.064408
VALE3.SA,2021-01-27,2021,01,27,2021-01,90.38999938964844,91.18000030517578,88.19999694824219,89.19999694824219,65.71528625488281,32419700,2023-09-07 01:29:18.064408
VALE3.SA,2021-01-28,2021,01,28,2021-01,88.19999694824219,91.3499984741211,88.0999984741211,91.0999984741211,67.11505126953125,35900800,2023-09-07 01:29:18.064408
VALE3.SA,2021-01-29,2021,01,29,2021-01,89.98999786376953,90.8499984741211,87.79000091552734,87.94999694824219,64.79438781738281,31481600,2023-09-07 01:29:18.064408
VALE3.SA,2021-02-01,2021,02,01,2021-02,90.01000213623047,91.2699966430664,88.58000183105469,91.2699966430664,67.24029541015625,27135500,2023-09-07 01:29:18.064408
VALE3.SA,2021-02-02,2021,02,02,2021-02,90.18000030517578,90.58000183105467,87.51000213623047,87.66000366210938,64.58073425292969,34426700,2023-09-07 01:29:18.064408
VALE3.SA,2021-02-03,2021,02,03,2021-02,88.8499984741211,91.41999816894533,88.5999984741211,90.43000030517578,66.6214370727539,34346400,2023-09-07 01:29:18.064408
VALE3.SA,2021-02-04,2021,02,04,2021-02,91.9499969482422,92.87000274658205,89.08999633789062,89.29000091552734,65.7815933227539,29939700,2023-09-07 01:29:18.064408
VALE3.SA,2021-02-05,2021,02,05,2021-02,90.1999969482422,92.7699966430664,89.55000305175781,92.69000244140624,68.28643035888672,27114800,2023-09-07 01:29:18.064408
VALE3.SA,2021-02-08,2021,02,08,2021-02,92.97000122070312,94.91000366210938,92.4499969482422,94.01000213623048,69.25889587402344,28164400,2023-09-07 01:29:18.064408
VALE3.SA,2021-02-09,2021,02,09,2021-02,94.5999984741211,95.22000122070312,92.31999969482422,94.25,69.43570709228516,32303400,2023-09-07 01:29:18.064408
VALE3.SA,2021-02-10,2021,02,10,2021-02,94.66000366210938,95.66999816894533,94.37999725341795,94.6999969482422,69.7672348022461,40318300,2023-09-07 01:29:18.064408
VALE3.SA,2021-02-11,2021,02,11,2021-02,95.47000122070312,95.47000122070312,93.0999984741211,93.0999984741211,68.5884780883789,19775900,2023-09-07 01:29:18.064408
VALE3.SA,2021-02-12,2021,02,12,2021-02,93.12000274658205,94.13999938964844,92.1999969482422,93.88999938964844,69.17049407958984,14760700,2023-09-07 01:29:18.064408
VALE3.SA,2021-02-17,2021,02,17,2021-02,96.01000213623048,96.72000122070312,95.19000244140624,96.3499984741211,70.98281860351562,29262900,2023-09-07 01:29:18.064408
VALE3.SA,2021-02-18,2021,02,18,2021-02,97.36000061035156,98.4000015258789,96.0199966430664,97.4000015258789,71.75637817382812,33088500,2023-09-07 01:29:18.064408
VALE3.SA,2021-02-19,2021,02,19,2021-02,97.20999908447266,98.8499984741211,96.33000183105467,97.7699966430664,72.02896118164062,24966600,2023-09-07 01:29:18.064408
